PIN,Lat,Long
121012,28.4207405,77.2893606
121013,28.4868329,77.3351855
121014,20.593684,78.96288
121015,20.593684,78.96288
121101,28.3799037,77.4357739
121102,28.1373319,77.4242972
121103,28.0446221,77.1715228
121104,20.593684,78.96288
121105,28.0241268,77.3209555
121106,27.923692,77.355413
121107,27.9824927,77.4931403
122001,28.4554726,77.0219019
122002,28.474679,77.1048978
122003,28.4421257,77.0652025
122004,28.4051175,76.9758274
122005,28.4362246,77.030539
122006,28.4813712,76.9931074
122007,28.471851,77.0578855
122008,28.4929905,77.0724143
122009,28.4641637,77.0823482
122010,28.4904287,77.1168753
122011,28.4258749,77.0976195
122012,20.593684,78.96288
122014,20.593684,78.96288
122015,28.4963709,77.0593246
122016,28.5079338,77.0751538
122017,28.5076558,77.02766
122018,28.4180814,77.0506896
122050,28.3555099,76.9409706
122051,28.3484435,76.9239727
122052,28.3702789,76.9124465
122096,20.593684,78.96288
122097,20.593684,78.96288
122098,20.593684,78.96288
122101,28.3636532,77.0219019
122102,28.3117677,77.0794705
122103,28.1738838,77.0794705
122104,27.7464579,76.9412601
122105,28.4963709,77.0593246
122106,20.593684,78.96288
122107,28.0775058,77.0334179
122108,27.9394584,77.0334179
122412,20.593684,78.96288
122413,28.3043458,76.8836261
122414,28.2701202,76.7682775
122501,20.593684,78.96288
122502,28.2713642,76.6643728
122503,28.3308988,76.8028933
122504,28.384868,76.7682775
122505,28.4317042,76.8951551
122506,28.4330156,76.7913558
122507,20.593684,78.96288
122508,27.8604325,77.1715228
123001,28.0318168,76.1088001
123003,20.593684,78.96288
123020,20.593684,78.96288
123021,28.1377997,76.247912
123022,20.593684,78.96288
123023,27.8893483,76.0623979
123024,28.3840617,75.9695465
123026,20.593684,78.96288
123027,28.4075559,76.2178127
123028,28.2152749,76.1088001
123029,28.4097573,76.1745133
123030,20.593684,78.96288
123031,20.593684,78.96288
123033,20.593684,78.96288
123034,28.2753857,76.247912
123035,28.3711702,76.6297189
123101,28.1990591,76.514138
123102,28.1851216,76.3753046
123103,28.2127284,76.4215988
123105,20.593684,78.96288
123106,28.1760065,76.745195
123108,20.593684,78.96288
123109,20.593684,78.96288
123110,28.2296118,76.7942403
123301,28.3642617,76.5603828
123302,28.3985032,76.4447397
123303,28.4120444,76.3521514
123401,28.2621924,76.5719414
123410,20.593684,78.96288
123411,28.2941725,76.4331698
123412,28.0882851,76.4967919
123413,20.593684,78.96288
123414,20.593684,78.96288
123501,28.0578522,76.5950555
123502,20.593684,78.96288
123504,20.593684,78.96288
123505,20.593684,78.96288
123506,20.593684,78.96288
124001,28.9034473,76.5719414
124009,20.593684,78.96288
124010,28.8459406,76.5401527
124021,28.867022,76.6643728
124022,28.8767484,76.4215988
124101,20.593684,78.96288
124102,28.6713694,76.6528225
124103,28.5877565,76.6181655
124104,28.5969602,76.7105632
124105,28.5270089,76.8144298
124106,28.5817556,76.4447397
124107,28.7629253,76.6528225
124108,28.4548686,76.6643728
124109,28.4410263,76.5257007
124110,20.593684,78.96288
124111,28.9759872,76.3868797
124112,29.0121012,76.2942507
124113,28.8058176,76.3984537
124140,20.593684,78.96288
124141,28.4882551,76.3695167
124142,28.4732693,76.3347838
124145,20.593684,78.96288
124146,28.4924909,76.4678766
124201,28.7078796,76.5603828
124202,28.7064497,76.4331698
124302,20.593684,78.96288
124303,29.0121091,76.6297189
124401,28.9299641,76.7221082
124403,20.593684,78.96288
124404,28.831067,76.8201976
124405,20.593684,78.96288
124406,28.8911244,76.7913558
124410,20.593684,78.96288
124411,28.8357532,76.4678766
124412,28.7718469,76.514138
124416,20.593684,78.96288
124501,28.7847278,76.7567368
124502,20.593684,78.96288
124503,20.593684,78.96288
124504,28.6948707,76.7163359
124505,28.7526104,76.8951551
124506,28.7103137,76.8144298
124507,28.6564595,76.8490328
124508,20.593684,78.96288
124511,20.593684,78.96288
124512,20.593684,78.96288
124513,29.0141581,76.3695167
124514,29.0358382,76.5257007
124524,20.593684,78.96288
125001,29.049537,75.5742467
125003,20.593684,78.96288
125004,29.1406223,75.6789905
125005,29.125413,75.7487779
125006,29.110152,75.8185314
125007,29.1235418,75.7051647
125009,20.593684,78.96288
125010,20.593684,78.96288
125011,29.2316435,75.6659016
125031,20.593684,78.96288
125032,20.593684,78.96288
125033,29.0643749,75.9230976
125036,20.593684,78.96288
125037,28.9531185,75.841775
125038,29.1849219,76.2015572
125039,29.3118514,76.1088001
125041,20.593684,78.96288
125042,29.093728,76.2015572
125043,20.593684,78.96288
125044,29.0670836,75.841775
125046,20.593684,78.96288
125047,29.3579842,75.6906241
125048,29.4335541,75.5509602
125049,29.2060108,75.9695465
125050,29.4835524,75.3878525
125051,29.6753855,75.4810786
125052,29.2921019,75.5043761
125053,29.3622408,75.3178952
125054,29.5659239,75.2128996
125055,29.4305507,74.9208772
125056,20.593684,78.96288
125057,20.593684,78.96288
125058,29.4578181,75.2595731
125059,20.593684,78.96288
125060,29.5679711,75.1311874
125073,20.593684,78.96288
125074,20.593684,78.96288
125075,29.5590875,74.663464
125076,29.6262558,74.8507131
125077,29.6823688,74.9442585
125078,29.6985189,75.0844757
125101,29.7811731,74.5346103
125102,29.3978643,74.6400432
125103,29.7708703,74.7337069
125104,29.8810582,74.7102958
125105,20.593684,78.96288
125106,29.6809741,75.737149
125108,20.593684,78.96288
125109,20.593684,78.96288
125110,29.3412012,75.1311874
125111,29.5397219,75.6906241
125112,29.413556,75.7836589
125113,29.5145069,75.8766333
125118,20.593684,78.96288
